order,name,description,vector,type,units,region,2021,2022,2023,2024
59,EPRC(USA),expected consumer price inflation rate,end,z1l,pct,USA,6.33602101,3.72835299,2.58455568,2.58455568
60,EPRC(ROW),expected consumer price inflation rate,end,z1l,pct,ROW,6.33602101,3.72835299,2.58455568,2.58455568
61,EXCH(USA),exchange rate - US$ per unit of region currency,stl,x1l,idx,USA,100,100,100,100
62,EXCH(ROW),exchange rate - US$ per unit of region currency,stl,x1l,idx,ROW,100,100,100,100
63,EXCL(USA),exchange rate - US$ per unit of region currency - lagged,sta,x1l,idx,USA,100,100,100,100
64,EXCL(ROW),exchange rate - US$ per unit of region currency - lagged,sta,x1l,idx,ROW,100,100,100,100
65,EXCR(USA),country risk premium relative to US,exo,exo,pct,USA,0,0,0,0
66,EXCR(ROW),country risk premium relative to US,exo,exo,pct,ROW,0,0,0,0
67,EXCX(USA),exchange rate target percentage change,exo,exo,pct,USA,0,0,0,0
68,EXCX(ROW),exchange rate target percentage change,exo,exo,pct,ROW,0,0,0,0
69,"EXQ(g01,USA)","exports, EXP.xx",end,z1l,gdp,USA,0.85074612,0.90519262,0.82434478,0.83237677
70,"EXQ(g01,ROW)","exports, EXP.xx",end,z1l,gdp,ROW,0.85074612,0.90519262,0.82434478,0.83237677
71,"EXQ(g02,USA)","exports, EXP.xx",end,z1l,gdp,USA,13.19231073,14.0365991,12.78291155,12.90746165
72,"EXQ(g02,ROW)","exports, EXP.xx",end,z1l,gdp,ROW,13.19231073,14.0365991,12.78291155,12.90746165
73,EXQT(USA),value of exports at source,end,z1l,gdp,USA,14.04305685,14.94179172,13.60725633,13.73983841
74,EXQT(ROW),value of exports at source,end,z1l,gdp,ROW,14.04305685,14.94179172,13.60725633,13.73983841
75,EYGR(USA),expected output growth,end,z1l,pct,USA,9.35744266,6.23481019,5.30677821,5.30677821
76,EYGR(ROW),expected output growth,end,z1l,pct,ROW,9.35744266,6.23481019,5.30677821,5.30677821
77,"GCE(g01,USA)",government purchases of goods and services,end,z1l,gdp,USA,0,0,0,0
78,"GCE(g01,ROW)",government purchases of goods and services,end,z1l,gdp,ROW,0,0,0,0
79,"GCE(g02,USA)",government purchases of goods and services,end,z1l,gdp,USA,17.23695822,16.69050244,16.63613615,16.76166744
80,"GCE(g02,ROW)",government purchases of goods and services,end,z1l,gdp,ROW,17.23695822,16.69050244,16.63613615,16.76166744
81,GCET(USA),national accounts government spending excluding labor,end,z1l,gdp,USA,17.23695822,16.69050244,16.63613615,16.76166744
82,GCET(ROW),national accounts government spending excluding labor,end,z1l,gdp,ROW,17.23695822,16.69050244,16.63613615,16.76166744
83,GDPN(USA),"GDP, nominal",end,z1l,gdp,USA,90.02853516,96.43181517,100,102.48236835
84,GDPN(ROW),"GDP, nominal",end,z1l,gdp,ROW,90.02853516,96.43181517,100,102.48236835
85,GDPR(USA),"GDP, real",end,z1l,gdp,USA,100,100,100,100
86,GDPR(ROW),"GDP, real",end,z1l,gdp,ROW,100,100,100,100
87,GNEN(USA),"GNE, nominal",end,z1l,gdp,USA,93.80483889,100.28235888,103.730705,106.26463188
88,GNEN(ROW),"GNE, nominal",end,z1l,gdp,ROW,93.80483889,100.28235888,103.730705,106.26463188
89,GNER(USA),"GNE, real",end,z1l,gdp,USA,103.93460419,103.92843967,103.730705,103.76293343
90,GNER(ROW),"GNE, real",end,z1l,gdp,ROW,103.93460419,103.92843967,103.730705,103.76293343
91,GNPR(USA),gross national product,end,z1l,gdp,USA,97.14785953,97.75033842,97.41644345,97.34427429
92,GNPR(ROW),gross national product,end,z1l,gdp,ROW,97.14785953,97.75033842,97.41644345,97.34427429
93,GOVL(USA),labor used by government,exo,exo,gdp,USA,0,0,0,0
94,GOVL(ROW),labor used by government,exo,exo,gdp,ROW,0,0,0,0
95,GOVS(USA),government spending excluding labor,exo,exo,gdp,USA,17.23695822,16.69050244,16.63613615,16.76166744
96,GOVS(ROW),government spending excluding labor,exo,exo,gdp,ROW,17.23695822,16.69050244,16.63613615,16.76166744
97,GOVT(USA),national accounts government spending including labor,end,z1l,gdp,USA,17.23695822,16.69050244,16.63613615,16.76166744
98,GOVT(ROW),national accounts government spending including labor,end,z1l,gdp,ROW,17.23695822,16.69050244,16.63613615,16.76166744
99,"IIN(g01,USA)",raw capital sector demand for goods,end,z1l,gdp,USA,0,0,0,0
100,"IIN(g01,ROW)",raw capital sector demand for goods,end,z1l,gdp,ROW,0,0,0,0
101,"IIN(g02,USA)",raw capital sector demand for goods,end,z1l,gdp,USA,15.81093711,16.00147888,15.99896744,15.87469942
102,"IIN(g02,ROW)",raw capital sector demand for goods,end,z1l,gdp,ROW,15.81093711,16.00147888,15.99896744,15.87469942
103,IITE(USA),raw capital sector demand for energy,end,z1l,gdp,USA,0,0,0,0
104,IITE(ROW),raw capital sector demand for energy,end,z1l,gdp,ROW,0,0,0,0
105,IITL(USA),raw capital sector demand for labor,end,z1l,gdp,USA,0.79054686,0.80007394,0.79994837,0.79373497
106,IITL(ROW),raw capital sector demand for labor,end,z1l,gdp,ROW,0.79054686,0.80007394,0.79994837,0.79373497
107,IITO(USA),raw capital sector demand for material,end,z1l,gdp,USA,15.81093711,16.00147888,15.99896744,15.87469942
108,IITO(ROW),raw capital sector demand for material,end,z1l,gdp,ROW,15.81093711,16.00147888,15.99896744,15.87469942
109,"IMP(g01,USA,USA)","individual imports, IMP.xy",end,z1l,gdp,USA,0,0,0,0
110,"IMP(g01,USA,ROW)","individual imports, IMP.xy",end,z1l,gdp,USA,0.85074612,0.90519262,0.82434478,0.83237677
111,"IMP(g01,ROW,USA)","individual imports, IMP.xy",end,z1l,gdp,ROW,0.85074612,0.90519262,0.82434478,0.83237677
112,"IMP(g01,ROW,ROW)","individual imports, IMP.xy",end,z1l,gdp,ROW,0,0,0,0
113,"IMP(g02,USA,USA)","individual imports, IMP.xy",end,z1l,gdp,USA,0,0,0,0
114,"IMP(g02,USA,ROW)","individual imports, IMP.xy",end,z1l,gdp,USA,13.19231073,14.0365991,12.78291155,12.90746165
115,"IMP(g02,ROW,USA)","individual imports, IMP.xy",end,z1l,gdp,ROW,13.19231073,14.0365991,12.78291155,12.90746165
116,"IMP(g02,ROW,ROW)","individual imports, IMP.xy",end,z1l,gdp,ROW,0,0,0,0
117,"IMPX(g01,USA,USA)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0
118,"IMPX(g01,USA,ROW)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0
119,"IMPX(g01,ROW,USA)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0
120,"IMPX(g01,ROW,ROW)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0
