USA,a01,a02,C,I,G,X,M
g01,627.85583331,1070.44302716,513.98126639,0.00000000,0.00000000,270.81177371,-234.72968207
g02,524.95443608,17404.53644249,15885.22934227,4555.65758908,4728.34004927,3424.97644311,-3639.89540074
L,216.61965283,13364.61143202,819.96053043,227.78287945,0.00000000,0.00000000,0.00000000
K,691.95376613,8400.09731149,1642.28720629,227.78287945,0.00000000,0.00000000,0.00000000
TAX,186.97853015,2644.11068840,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
ROW,a01,a02,C,I,G,X,M
g01,627.85583331,1070.44302716,513.98126639,0.00000000,0.00000000,270.81177371,-234.72968207
g02,524.95443608,17404.53644249,15885.22934227,4555.65758908,4728.34004927,3424.97644311,-3639.89540074
L,216.61965283,13364.61143202,819.96053043,227.78287945,0.00000000,0.00000000,0.00000000
K,691.95376613,8400.09731149,1642.28720629,227.78287945,0.00000000,0.00000000,0.00000000
TAX,186.97853015,2644.11068840,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
