order,name,description,vector,type,units,region,2021,2022,2023,2024
1,ABUY(USA),new purchases of foreign assets,end,z1l,gdp,USA,0,0,0,0
2,ABUY(ROW),new purchases of foreign assets,end,z1l,gdp,ROW,0,0,0,0
3,"ASSE(USA,USA)","assets in each currency, including own",sta,x1l,usgdp,USA,0,0,0,0
4,"ASSE(USA,ROW)","assets in each currency, including own",sta,x1l,usgdp,ROW,0,0,0,0
5,"ASSE(ROW,USA)","assets in each currency, including own",sta,x1l,usgdp,USA,0,0,0,0
6,"ASSE(ROW,ROW)","assets in each currency, including own",sta,x1l,usgdp,ROW,0,0,0,0
7,ASSU(USA),"assets held by region, in US$",end,z1l,gdp,USA,0,0,0,0
8,ASSU(ROW),"assets held by region, in US$",end,z1l,gdp,ROW,0,0,0,0
9,"BCT(g01,USA,USA)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0
10,"BCT(g01,USA,ROW)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0
11,"BCT(g01,ROW,USA)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0
12,"BCT(g01,ROW,ROW)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0
13,"BCT(g02,USA,USA)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0
14,"BCT(g02,USA,ROW)",unit border tax adjustment,exo,exo,dollar,USA,0,0,0,0
15,"BCT(g02,ROW,USA)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0
16,"BCT(g02,ROW,ROW)",unit border tax adjustment,exo,exo,dollar,ROW,0,0,0,0
17,BOND(USA),bonds,sta,x1l,gdp,USA,89,88,89,94
18,BOND(ROW),bonds,sta,x1l,gdp,ROW,89,88,89,94
19,"CAP(a01,USA)",capital stock,sta,x1l,gdp,USA,18.4111801,18.58060872,18.56132226,18.52534544
20,"CAP(a01,ROW)",capital stock,sta,x1l,gdp,ROW,18.4111801,18.58060872,18.56132226,18.52534544
21,"CAP(a02,USA)",capital stock,sta,x1l,gdp,USA,225.52652459,225.27972346,225.3285131,225.39844741
22,"CAP(a02,ROW)",capital stock,sta,x1l,gdp,ROW,225.52652459,225.27972346,225.3285131,225.39844741
23,CAPY(USA),capital stock of raw capital sector,sta,x1l,gdp,USA,11.36363636,11.36363636,11.36363636,11.36363636
24,CAPY(ROW),capital stock of raw capital sector,sta,x1l,gdp,ROW,11.36363636,11.36363636,11.36363636,11.36363636
25,CAPZ(USA),household capital stock,sta,x1l,gdp,USA,82.8640426,82.26370503,81.93045352,82.64402699
26,CAPZ(ROW),household capital stock,sta,x1l,gdp,ROW,82.8640426,82.26370503,81.93045352,82.64402699
27,CNPE(USA),household demand for energy,end,z1l,gdp,USA,1.80469465,1.8124315,1.80838056,1.80996757
28,CNPE(ROW),household demand for energy,end,z1l,gdp,ROW,1.80469465,1.8124315,1.80838056,1.80996757
29,CNPK(USA),household capital services,end,z1l,gdp,USA,5.76641043,5.79113143,5.77818776,5.78325861
30,CNPK(ROW),household capital services,end,z1l,gdp,ROW,5.76641043,5.79113143,5.77818776,5.78325861
31,CNPL(USA),household demand for labor,end,z1l,gdp,USA,2.8790512,2.89139389,2.88493138,2.88746315
32,CNPL(ROW),household demand for labor,end,z1l,gdp,ROW,2.8790512,2.89139389,2.88493138,2.88746315
33,CNPO(USA),household demand for material,end,z1l,gdp,USA,55.7763294,56.0154464,55.89024704,55.9392955
34,CNPO(ROW),household demand for material,end,z1l,gdp,ROW,55.7763294,56.0154464,55.89024704,55.9392955
35,"CON(g01,USA)",household demand for goods,end,z1l,gdp,USA,1.80469465,1.8124315,1.80838056,1.80996757
36,"CON(g01,ROW)",household demand for goods,end,z1l,gdp,ROW,1.80469465,1.8124315,1.80838056,1.80996757
37,"CON(g02,USA)",household demand for goods,end,z1l,gdp,USA,55.7763294,56.0154464,55.89024704,55.9392955
38,"CON(g02,ROW)",household demand for goods,end,z1l,gdp,ROW,55.7763294,56.0154464,55.89024704,55.9392955
39,CONP(USA),national accounts consumption,end,z1l,gdp,USA,66.22648568,66.51040323,66.36174674,66.41998484
40,CONP(ROW),national accounts consumption,end,z1l,gdp,ROW,66.22648568,66.51040323,66.36174674,66.41998484
41,CURN(USA),domestic currency current account using nominal interest payments,end,z1l,gdp,USA,0,0,0,0
42,CURN(ROW),domestic currency current account using nominal interest payments,end,z1l,gdp,ROW,0,0,0,0
43,CURR(USA),USD current account using real interest payments,end,z1l,gdp,USA,0,0,0,0
44,CURR(ROW),USD current account using real interest payments,end,z1l,gdp,ROW,0,0,0,0
45,DEFI(USA),fiscal deficit (real interest rates),end,z1l,gdp,USA,5.7939665,-2.35792259,4.61430725,5.60942463
46,DEFI(ROW),fiscal deficit (real interest rates),end,z1l,gdp,ROW,5.7939665,-2.35792259,4.61430725,5.60942463
47,DEFN(USA),fiscal deficit (nominal interest rates),end,z1l,gdp,USA,11.90911223,3.68851364,7.84803378,7.91435931
48,DEFN(ROW),fiscal deficit (nominal interest rates),end,z1l,gdp,ROW,11.90911223,3.68851364,7.84803378,7.91435931
49,DEFX(USA),fiscal deficit shocks (real interest rates),exo,exo,gdp,USA,5.7939665,-2.35792259,4.61430725,5.60942463
50,DEFX(ROW),fiscal deficit shocks (real interest rates),exo,exo,gdp,ROW,5.7939665,-2.35792259,4.61430725,5.60942463
51,"EN(a01,g01,USA)",sector demand for energy goods,end,z1l,gdp,USA,2.1791351,2.19669825,2.20903437,2.19986014
52,"EN(a01,g01,ROW)",sector demand for energy goods,end,z1l,gdp,ROW,2.1791351,2.19669825,2.20903437,2.19986014
53,"EN(a02,g01,USA)",sector demand for energy goods,end,z1l,gdp,USA,3.74883685,3.74049393,3.76622357,3.75903232
54,"EN(a02,g01,ROW)",sector demand for energy goods,end,z1l,gdp,ROW,3.74883685,3.74049393,3.76622357,3.75903232
55,"ENT(a01,USA)",sector demand for energy,end,z1l,gdp,USA,2.1791351,2.19669825,2.20903437,2.19986014
56,"ENT(a01,ROW)",sector demand for energy,end,z1l,gdp,ROW,2.1791351,2.19669825,2.20903437,2.19986014
57,"ENT(a02,USA)",sector demand for energy,end,z1l,gdp,USA,3.74883685,3.74049393,3.76622357,3.75903232
58,"ENT(a02,ROW)",sector demand for energy,end,z1l,gdp,ROW,3.74883685,3.74049393,3.76622357,3.75903232
59,EPRC(USA),expected consumer price inflation rate,end,z1l,pct,USA,6.33602101,3.72835299,2.58455568,2.58455568
60,EPRC(ROW),expected consumer price inflation rate,end,z1l,pct,ROW,6.33602101,3.72835299,2.58455568,2.58455568
61,EXCH(USA),exchange rate - US$ per unit of region currency,stl,x1l,idx,USA,100,100,100,100
62,EXCH(ROW),exchange rate - US$ per unit of region currency,stl,x1l,idx,ROW,100,100,100,100
63,EXCL(USA),exchange rate - US$ per unit of region currency - lagged,sta,x1l,idx,USA,100,100,100,100
