USA,a01,a02,C,I,G,X,M
g01,536.73701077,776.92724875,390.22701370,0.00000000,0.00000000,291.17155445,-301.95130940
g02,314.14521902,16647.78354029,15076.45975938,4271.46479756,4479.54051427,3554.38449145,-3697.37471090
L,108.39156233,12616.73070159,773.33433865,213.57323988,0.00000000,0.00000000,0.00000000
K,357.01232229,8035.69114467,1553.20358360,213.57323988,0.00000000,0.00000000,0.00000000
TAX,376.82540387,2569.27097578,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
ROW,a01,a02,C,I,G,X,M
g01,536.73701077,776.92724875,390.22701370,0.00000000,0.00000000,291.17155445,-301.95130940
g02,314.14521902,16647.78354029,15076.45975938,4271.46479756,4479.54051427,3554.38449145,-3697.37471090
L,108.39156233,12616.73070159,773.33433865,213.57323988,0.00000000,0.00000000,0.00000000
K,357.01232229,8035.69114467,1553.20358360,213.57323988,0.00000000,0.00000000,0.00000000
TAX,376.82540387,2569.27097578,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
