88,"GNEN(ROW)","GNE, nominal","gdp","ROW",
89,"GNER(USA)","GNE, real","gdp","USA",
90,"GNER(ROW)","GNE, real","gdp","ROW",
91,"GNPR(USA)","gross national product","gdp","USA",
92,"GNPR(ROW)","gross national product","gdp","ROW",
93,"GOVL(USA)","labor used by government","gdp","USA",
94,"GOVL(ROW)","labor used by government","gdp","ROW",
95,"GOVS(USA)","government spending excluding labor","gdp","USA",
96,"GOVS(ROW)","government spending excluding labor","gdp","ROW",
97,"GOVT(USA)","national accounts government spending including labor","gdp","USA",
98,"GOVT(ROW)","national accounts government spending including labor","gdp","ROW",
99,"IIN(g01,USA)","raw capital sector demand for goods","gdp","USA",
100,"IIN(g01,ROW)","raw capital sector demand for goods","gdp","ROW",
101,"IIN(g02,USA)","raw capital sector demand for goods","gdp","USA",
102,"IIN(g02,ROW)","raw capital sector demand for goods","gdp","ROW",
103,"IITE(USA)","raw capital sector demand for energy","gdp","USA",
104,"IITE(ROW)","raw capital sector demand for energy","gdp","ROW",
105,"IITL(USA)","raw capital sector demand for labor","gdp","USA",
106,"IITL(ROW)","raw capital sector demand for labor","gdp","ROW",
107,"IITO(USA)","raw capital sector demand for material","gdp","USA",
108,"IITO(ROW)","raw capital sector demand for material","gdp","ROW",
109,"IMP(g01,USA,USA)","individual imports, IMP.xy","gdp","USA",
110,"IMP(g01,USA,ROW)","individual imports, IMP.xy","gdp","USA",
111,"IMP(g01,ROW,USA)","individual imports, IMP.xy","gdp","ROW",
112,"IMP(g01,ROW,ROW)","individual imports, IMP.xy","gdp","ROW",
113,"IMP(g02,USA,USA)","individual imports, IMP.xy","gdp","USA",
114,"IMP(g02,USA,ROW)","individual imports, IMP.xy","gdp","USA",
115,"IMP(g02,ROW,USA)","individual imports, IMP.xy","gdp","ROW",
116,"IMP(g02,ROW,ROW)","individual imports, IMP.xy","gdp","ROW",
117,"IMPX(g01,USA,USA)","individual imports shift ","gdp","USA",
118,"IMPX(g01,USA,ROW)","individual imports shift ","gdp","USA",
119,"IMPX(g01,ROW,USA)","individual imports shift ","gdp","ROW",
120,"IMPX(g01,ROW,ROW)","individual imports shift ","gdp","ROW",
121,"IMPX(g02,USA,USA)","individual imports shift ","gdp","USA",
122,"IMPX(g02,USA,ROW)","individual imports shift ","gdp","USA",
123,"IMPX(g02,ROW,USA)","individual imports shift ","gdp","ROW",
124,"IMPX(g02,ROW,ROW)","individual imports shift ","gdp","ROW",
125,"IMQ(g01,USA)","DF imports by good, IMQ.xx","gdp","USA",
126,"IMQ(g01,ROW)","DF imports by good, IMQ.xx","gdp","ROW",
127,"IMQ(g02,USA)","DF imports by good, IMQ.xx","gdp","USA",
128,"IMQ(g02,ROW)","DF imports by good, IMQ.xx","gdp","ROW",
129,"IMQT(USA)","value of imports at destination","gdp","USA",
130,"IMQT(ROW)","value of imports at destination","gdp","ROW",
131,"INAS(USA)","nominal USD net interest payments on foreign assets","gdp","USA",
132,"INAS(ROW)","nominal USD net interest payments on foreign assets","gdp","ROW",
133,"INCM(USA)","after tax household income","gdp","USA",
134,"INCM(ROW)","after tax household income","gdp","ROW",
135,"INFCL(USA)","household materials inflation rate","pct","USA",
136,"INFCL(ROW)","household materials inflation rate","pct","ROW",
137,"INFL(USA)","consumer price inflation","pct","USA",
138,"INFL(ROW)","consumer price inflation","pct","ROW",
139,"INFP(USA)","output price inflation","pct","USA",
140,"INFP(ROW)","output price inflation","pct","ROW",
141,"INFX(USA)","inflation target","pct","USA",
142,"INFX(ROW)","inflation target","pct","ROW",
143,"INS(USA,g01)","shocks to aggregate investment demand","gdp","USA",
144,"INS(USA,g02)","shocks to aggregate investment demand","gdp","USA",
145,"INS(ROW,g01)","shocks to aggregate investment demand","gdp","ROW",
146,"INS(ROW,g02)","shocks to aggregate investment demand","gdp","ROW",
147,"INTF(USA)","risk free interest rate, short-run, real","pct","USA",
148,"INTF(ROW)","risk free interest rate, short-run, real","pct","ROW",
149,"INTL(USA)","interest rate, short-run, nominal - lagged","pct","USA",
150,"INTL(ROW)","interest rate, short-run, nominal - lagged","pct","ROW",
151,"INTN(USA)","interest rate, short (policy), nominal","pct","USA",
152,"INTN(ROW)","interest rate, short (policy), nominal","pct","ROW",
153,"INTR(USA)","risk adjusted interest rate, short-run, real","pct","USA",
154,"INTR(ROW)","risk adjusted interest rate, short-run, real","pct","ROW",
155,"INTX(USA)","shock to interest rate target","pct","USA",
156,"INTX(ROW)","shock to interest rate target","pct","ROW",
157,"INV(a01,USA)","raw investment","gdp","USA",
158,"INV(a01,ROW)","raw investment","gdp","ROW",
159,"INV(a02,USA)","raw investment","gdp","USA",
160,"INV(a02,ROW)","raw investment","gdp","ROW",
161,"INVP(USA)","total investment by standard sectors","gdp","USA",
162,"INVP(ROW)","total investment by standard sectors","gdp","ROW",
163,"INVT(USA)","total investment including by households","gdp","USA",
164,"INVT(ROW)","total investment including by households","gdp","ROW",
165,"INVY(USA)","raw investment of raw capital sector","gdp","USA",
166,"INVY(ROW)","raw investment of raw capital sector","gdp","ROW",
167,"INVZ(USA)","household investment","gdp","USA",
168,"INVZ(ROW)","household investment","gdp","ROW",
169,"IRAS(USA)","real USD net interest payments on foreign assets","gdp","USA",
170,"IRAS(ROW)","real USD net interest payments on foreign assets","gdp","ROW",
171,"JNV(a01,USA)","installed investment","gdp","USA",
172,"JNV(a01,ROW)","installed investment","gdp","ROW",
173,"JNV(a02,USA)","installed investment","gdp","USA",
174,"JNV(a02,ROW)","installed investment","gdp","ROW",
175,"JNVY(USA)","installed investment in the raw capital sector","gdp","USA",
176,"JNVY(ROW)","installed investment in the raw capital sector","gdp","ROW",
177,"JNVZ(USA)","installed household investment","gdp","USA",
178,"JNVZ(ROW)","installed household investment","gdp","ROW",
179,"LAB(a01,USA)","sector demand for labor","gdp","USA",
180,"LAB(a01,ROW)","sector demand for labor","gdp","ROW",
181,"LAB(a02,USA)","sector demand for labor","gdp","USA",
182,"LAB(a02,ROW)","sector demand for labor","gdp","ROW",
183,"LABO(USA)","labor demand","gdp","USA",
184,"LABO(ROW)","labor demand","gdp","ROW",
185,"LABX(USA)","labor supply","gdp","USA",
186,"LABX(ROW)","labor supply","gdp","ROW",
187,"LAM(a01,USA)","marginal value of a unit of capital","pct","USA",
188,"LAM(a01,ROW)","marginal value of a unit of capital","pct","ROW",
189,"LAM(a02,USA)","marginal value of a unit of capital","pct","USA",
190,"LAM(a02,ROW)","marginal value of a unit of capital","pct","ROW",
191,"LAMY(USA)","marginal value of capital, raw capital sector","pct","USA",
192,"LAMY(ROW)","marginal value of capital, raw capital sector","pct","ROW",
193,"LAMZ(USA)","marginal value of a unit of household capital","pct","USA",
194,"LAMZ(ROW)","marginal value of a unit of household capital","pct","ROW",
195,"LGDPN(USA)","GDP, nominal","nomusdbillion","USA",
196,"LGDPN(ROW)","GDP, nominal","nomusdbillion","ROW",
197,"LGDPR(USA)","GDP, real","realusdbillion","USA",
198,"LGDPR(ROW)","GDP, real","realusdbillion","ROW",
199,"MONE(USA)","money demand","gdp","USA",
200,"MONE(ROW)","money demand","gdp","ROW",
201,"NB02(USA)","interest rate, 2-year, nominal","pct","USA",
202,"NB02(ROW)","interest rate, 2-year, nominal","pct","ROW",
203,"NB05(USA)","interest rate, 5-year, nominal","pct","USA",
204,"NB05(ROW)","interest rate, 5-year, nominal","pct","ROW",
205,"NB10(USA)","interest rate, 10-year, nominal","pct","USA",
206,"NB10(ROW)","interest rate, 10-year, nominal","pct","ROW",
207,"NEER(USA)","trade-weighted exchange rate, FC/domestic","idx","USA",
208,"NEER(ROW)","trade-weighted exchange rate, FC/domestic","idx","ROW",
209,"OI(a01,g02,USA)","sector demand for material goods","gdp","USA",
210,"OI(a01,g02,ROW)","sector demand for material goods","gdp","ROW",
211,"OI(a02,g02,USA)","sector demand for material goods","gdp","USA",
212,"OI(a02,g02,ROW)","sector demand for material goods","gdp","ROW",
213,"OIN(a01,USA)","sector demand for materials","gdp","USA",
214,"OIN(a01,ROW)","sector demand for materials","gdp","ROW",
215,"OIN(a02,USA)","sector demand for materials","gdp","USA",
216,"OIN(a02,ROW)","sector demand for materials","gdp","ROW",
217,"OUG(g01,USA)","domestic supply of goods","gdp","USA",
218,"OUG(g01,ROW)","domestic supply of goods","gdp","ROW",
219,"OUG(g02,USA)","domestic supply of goods","gdp","USA",
220,"OUG(g02,ROW)","domestic supply of goods","gdp","ROW",
221,"OUP(a01,USA)","domestic production","gdp","USA",
222,"OUP(a01,ROW)","domestic production","gdp","ROW",
223,"OUP(a02,USA)","domestic production","gdp","USA",
224,"OUP(a02,ROW)","domestic production","gdp","ROW",
225,"OUTL(USA)","aggregate output (lagged)","gdp","USA",
226,"OUTL(ROW)","aggregate output (lagged)","gdp","ROW",
227,"OUTP(USA)","aggregate output","gdp","USA",
228,"OUTP(ROW)","aggregate output","gdp","ROW",
229,"OUY(g01,USA)","composite supply","gdp","USA",
230,"OUY(g01,ROW)","composite supply","gdp","ROW",
231,"OUY(g02,USA)","composite supply","gdp","USA",
232,"OUY(g02,ROW)","composite supply","gdp","ROW",
233,"PGDP(USA)","GDP implicit price deflator","idx","USA",
234,"PGDP(ROW)","GDP implicit price deflator","idx","ROW",
235,"PIM(g01,USA,USA)","landed price of imports","idx","USA",
236,"PIM(g01,USA,ROW)","landed price of imports","idx","USA",
237,"PIM(g01,ROW,USA)","landed price of imports","idx","ROW",
238,"PIM(g01,ROW,ROW)","landed price of imports","idx","ROW",
239,"PIM(g02,USA,USA)","landed price of imports","idx","USA",
240,"PIM(g02,USA,ROW)","landed price of imports","idx","USA",
241,"PIM(g02,ROW,USA)","landed price of imports","idx","ROW",
242,"PIM(g02,ROW,ROW)","landed price of imports","idx","ROW",
243,"PMQ(g01,USA)","import landed price index","idx","USA",
244,"PMQ(g01,ROW)","import landed price index","idx","ROW",
245,"PMQ(g02,USA)","import landed price index","idx","USA",
246,"PMQ(g02,ROW)","import landed price index","idx","ROW",
247,"PMR(g01,USA)","price of imports incl tariffs","idx","USA",
248,"PMR(g01,ROW)","price of imports incl tariffs","idx","ROW",
249,"PMR(g02,USA)","price of imports incl tariffs","idx","USA",
250,"PMR(g02,ROW)","price of imports incl tariffs","idx","ROW",
251,"POI(a01,USA)","sector price of materials","idx","USA",
252,"POI(a01,ROW)","sector price of materials","idx","ROW",
253,"POI(a02,USA)","sector price of materials","idx","USA",
254,"POI(a02,ROW)","sector price of materials","idx","ROW",
255,"PRCE(USA)","household price of energy","idx","USA",
256,"PRCE(ROW)","household price of energy","idx","ROW",
257,"PRCL(USA)","aggregate price of consumer goods lagged","idx","USA",
258,"PRCL(ROW)","aggregate price of consumer goods lagged","idx","ROW",
259,"PRCO(USA)","household price of material","idx","USA",
260,"PRCO(ROW)","household price of material","idx","ROW",
261,"PRCOL(USA)","household price of material - lagged","idx","USA",
262,"PRCOL(ROW)","household price of material - lagged","idx","ROW",
263,"PRCT(USA)","aggregate price of consumer goods","idx","USA",
264,"PRCT(ROW)","aggregate price of consumer goods","idx","ROW",
265,"PRD(g01,USA)","post-tax price of goods","idx","USA",
266,"PRD(g01,ROW)","post-tax price of goods","idx","ROW",
267,"PRD(g02,USA)","post-tax price of goods","idx","USA",
268,"PRD(g02,ROW)","post-tax price of goods","idx","ROW",
269,"PRDL(USA)","weighted price of domestic output lag","idx","USA",
270,"PRDL(ROW)","weighted price of domestic output lag","idx","ROW",
271,"PRDX(USA)","shock to weighted price of domestic output","pct","USA",
272,"PRDX(ROW)","shock to weighted price of domestic output","pct","ROW",
273,"PRE(a01,USA)","sector price of energy","idx","USA",
274,"PRE(a01,ROW)","sector price of energy","idx","ROW",
275,"PRE(a02,USA)","sector price of energy","idx","USA",
276,"PRE(a02,ROW)","sector price of energy","idx","ROW",
277,"PRF(a01,USA)","short run profits","gdp","USA",
278,"PRF(a01,ROW)","short run profits","gdp","ROW",
279,"PRF(a02,USA)","short run profits","gdp","USA",
280,"PRF(a02,ROW)","short run profits","gdp","ROW",
281,"PRFT(USA)","total economywide profits","gdp","USA",
282,"PRFT(ROW)","total economywide profits","gdp","ROW",
283,"PRFY(USA)","profits on raw capital sector","gdp","USA",
284,"PRFY(ROW)","profits on raw capital sector","gdp","ROW",
285,"PRFZ(USA)","imputed short run profits on household capital","gdp","USA",
286,"PRFZ(ROW)","imputed short run profits on household capital","gdp","ROW",
287,"PRGT(USA)","aggregate price of government goods","idx","USA",
288,"PRGT(ROW)","aggregate price of government goods","idx","ROW",
289,"PRID(USA)","weighted price of domestic output","idx","USA",
290,"PRID(ROW)","weighted price of domestic output","idx","ROW",
291,"PRIE(USA)","raw capital sector price of energy","idx","USA",
292,"PRIE(ROW)","raw capital sector price of energy","idx","ROW",
293,"PRII(USA)","price paid by producers for raw capital","idx","USA",
294,"PRII(ROW)","price paid by producers for raw capital","idx","ROW",
295,"PRIM(USA)","weighted price of imports","idx","USA",
296,"PRIM(ROW)","weighted price of imports","idx","ROW",
297,"PRIX(USA)","weighted price of exports","idx","USA",
298,"PRIX(ROW)","weighted price of exports","idx","ROW",
299,"PRK(a01,USA)","implicit rental price","idx","USA",
300,"PRK(a01,ROW)","implicit rental price","idx","ROW",
301,"PRK(a02,USA)","implicit rental price","idx","USA",
302,"PRK(a02,ROW)","implicit rental price","idx","ROW",
303,"PRKY(USA)","implicit rental price, raw capital sector","idx","USA",
304,"PRKY(ROW)","implicit rental price, raw capital sector","idx","ROW",
305,"PRKZ(USA)","implicit rental price, household capital","idx","USA",
306,"PRKZ(ROW)","implicit rental price, household capital","idx","ROW",
307,"PROI(USA)","raw capital sector price of material","idx","USA",
308,"PROI(ROW)","raw capital sector price of material","idx","ROW",
309,"PRP(a01,USA)","pre-tax producer price","idx","USA",
310,"PRP(a01,ROW)","pre-tax producer price","idx","ROW",
311,"PRP(a02,USA)","pre-tax producer price","idx","USA",
312,"PRP(a02,ROW)","pre-tax producer price","idx","ROW",
313,"PRS(g01,USA)","producer price of composite","idx","USA",
314,"PRS(g01,ROW)","producer price of composite","idx","ROW",
315,"PRS(g02,USA)","producer price of composite","idx","USA",
316,"PRS(g02,ROW)","producer price of composite","idx","ROW",
317,"PRX(g01,USA)","price of exports at source","idx","USA",
318,"PRX(g01,ROW)","price of exports at source","idx","ROW",
319,"PRX(g02,USA)","price of exports at source","idx","USA",
320,"PRX(g02,ROW)","price of exports at source","idx","ROW",
321,"PRXX(USA)","shock to expected price of consumer goods","pct","USA",
322,"PRXX(ROW)","shock to expected price of consumer goods","pct","ROW",
323,"PRY(g01,USA)","purchase price of composite","idx","USA",
324,"PRY(g01,ROW)","purchase price of composite","idx","ROW",
325,"PRY(g02,USA)","purchase price of composite","idx","USA",
326,"PRY(g02,ROW)","purchase price of composite","idx","ROW",
327,"PTAR(USA)","price level target","idx","USA",
328,"PTAR(ROW)","price level target","idx","ROW",
329,"RB10(USA)","interest rate, 10-year, real","pct","USA",
330,"RB10(ROW)","interest rate, 10-year, real","pct","ROW",
331,"REER(USA)","effective real exchange rate, FC/domestic","idx","USA",
332,"REER(ROW)","effective real exchange rate, FC/domestic","idx","ROW",
333,"REXC(USA)","real exchange rate - US$ per unit of region currency","idx","USA",
334,"REXC(ROW)","real exchange rate - US$ per unit of region currency","idx","ROW",
335,"REXN(USA)","real exchange rate with capital controls","idx","USA",
336,"REXN(ROW)","real exchange rate with capital controls","idx","ROW",
337,"RISE(a01,USA)","equity risk premium by sector and region","del","USA",
338,"RISE(a01,ROW)","equity risk premium by sector and region","del","ROW",
339,"RISE(a02,USA)","equity risk premium by sector and region","del","USA",
340,"RISE(a02,ROW)","equity risk premium by sector and region","del","ROW",
341,"RISH(USA)","risk premium for human wealth","del","USA",
342,"RISH(ROW)","risk premium for human wealth","del","ROW",
343,"RISR(USA)","risk premium in the yield curve","del","USA",
344,"RISR(ROW)","risk premium in the yield curve","del","ROW",
345,"RISW(USA)","Blanchard probability of death","del","USA",
346,"RISW(ROW)","Blanchard probability of death","del","ROW",
347,"RISY(USA)","risk premium for raw-capital sector capital","del","USA",
348,"RISY(ROW)","risk premium for raw-capital sector capital","del","ROW",
349,"RISZ(USA)","risk premium for household capital","del","USA",
350,"RISZ(ROW)","risk premium for household capital","del","ROW",
351,"ROGY(USA)","potential output growth target","pct","USA",
352,"ROGY(ROW)","potential output growth target","pct","ROW",
353,"SAVI(USA)","real domestic saving using real interest rates","gdp","USA",
354,"SAVI(ROW)","real domestic saving using real interest rates","gdp","ROW",
355,"SAVN(USA)","real domestic saving using nominal interest rates","gdp","USA",
356,"SAVN(ROW)","real domestic saving using nominal interest rates","gdp","ROW",
357,"SAVT(USA)","domestic non-government saving using nominal interest rates","gdp","USA",
358,"SAVT(ROW)","domestic non-government saving using nominal interest rates","gdp","ROW",
359,"SHEF(a01,USA)","autonomous energy efficiency improvements","pct","USA",
360,"SHEF(a01,ROW)","autonomous energy efficiency improvements","pct","ROW",
361,"SHEF(a02,USA)","autonomous energy efficiency improvements","pct","USA",
362,"SHEF(a02,ROW)","autonomous energy efficiency improvements","pct","ROW",
363,"SHEFC(USA)","consumption autonomous energy efficiency improvements","pct","USA",
364,"SHEFC(ROW)","consumption autonomous energy efficiency improvements","pct","ROW",
365,"SHK(a01,USA)","shock to capital efficiency","pct","USA",
366,"SHK(a01,ROW)","shock to capital efficiency","pct","ROW",
367,"SHK(a02,USA)","shock to capital efficiency","pct","USA",
368,"SHK(a02,ROW)","shock to capital efficiency","pct","ROW",
369,"SHKC(USA)","shock to aggregate consumption","gdp","USA",
370,"SHKC(ROW)","shock to aggregate consumption","gdp","ROW",
371,"SHKI(USA,a01)","shock to inv equation","gdp","USA",
372,"SHKI(USA,a02)","shock to inv equation","gdp","USA",
373,"SHKI(ROW,a01)","shock to inv equation","gdp","ROW",
374,"SHKI(ROW,a02)","shock to inv equation","gdp","ROW",
375,"SHKM(USA)","shock to money demand","pct","USA",
376,"SHKM(ROW)","shock to money demand","pct","ROW",
377,"SHL(USA,a01)","shock to labor due to labor-augmenting technical change and/or population growth","pct","USA",
378,"SHL(USA,a02)","shock to labor due to labor-augmenting technical change and/or population growth","pct","USA",
379,"SHL(ROW,a01)","shock to labor due to labor-augmenting technical change and/or population growth","pct","ROW",
380,"SHL(ROW,a02)","shock to labor due to labor-augmenting technical change and/or population growth","pct","ROW",
381,"SHLY(USA)","shock to raw capital sector labor due to labor-augmenting technical change and/or population growth","pct","USA",
382,"SHLY(ROW)","shock to raw capital sector labor due to labor-augmenting technical change and/or population growth","pct","ROW",
383,"SHLZ(USA)","shock to household capital sector labor due to labor-augmenting technical change and/or population growth","pct","USA",
384,"SHLZ(ROW)","shock to household capital sector labor due to labor-augmenting technical change and/or population growth","pct","ROW",
385,"SHY(a01,USA)","shock to total factor productivity","pct","USA",
386,"SHY(a01,ROW)","shock to total factor productivity","pct","ROW",
387,"SHY(a02,USA)","shock to total factor productivity","pct","USA",
388,"SHY(a02,ROW)","shock to total factor productivity","pct","ROW",
389,"SHYY(USA)","shock to raw capital sector total factor productivity","pct","USA",
390,"SHYY(ROW)","shock to raw capital sector total factor productivity","pct","ROW",
391,"SHYZ(USA)","shock to household capital sector total factor productivity","pct","USA",
392,"SHYZ(ROW)","shock to household capital sector total factor productivity","pct","ROW",
393,"STM(a01,USA)","stock market value","gdp","USA",
394,"STM(a01,ROW)","stock market value","gdp","ROW",
395,"STM(a02,USA)","stock market value","gdp","USA",
396,"STM(a02,ROW)","stock market value","gdp","ROW",
397,"STMT(USA)","total stock market value","gdp","USA",
398,"STMT(ROW)","total stock market value","gdp","ROW",
399,"TAX(g01,USA)","sales tax on composite","pct","USA",
400,"TAX(g01,ROW)","sales tax on composite","pct","ROW",
401,"TAX(g02,USA)","sales tax on composite","pct","USA",
402,"TAX(g02,ROW)","sales tax on composite","pct","ROW",
403,"TAXC(USA)","revenue from sales and company taxes","gdp","USA",
404,"TAXC(ROW)","revenue from sales and company taxes","gdp","ROW",
405,"TAXH(USA)","revenue from taxes on wages","gdp","USA",
406,"TAXH(ROW)","revenue from taxes on wages","gdp","ROW",
407,"TAXL(USA)","revenue from lump-sum taxes","gdp","USA",
408,"TAXL(ROW)","revenue from lump-sum taxes","gdp","ROW",
409,"TAXM(USA)","tariff revenue","gdp","USA",
410,"TAXM(ROW)","tariff revenue","gdp","ROW",
411,"TAXS(USA)","exogenous lump sum tax","gdp","USA",
412,"TAXS(ROW)","exogenous lump sum tax","gdp","ROW",
413,"TAXT(USA)","total revenue","gdp","USA",
414,"TAXT(ROW)","total revenue","gdp","ROW",
415,"TAXX(USA)","external tax revenue","gdp","USA",
416,"TAXX(ROW)","external tax revenue","gdp","ROW",
417,"TBAL(USA)","trade surplus, domestic currency","gdp","USA",
418,"TBAL(ROW)","trade surplus, domestic currency","gdp","ROW",
419,"TBAU(USA)","trade surplus, USD","gdp","USA",
420,"TBAU(ROW)","trade surplus, USD","gdp","ROW",
421,"TCOR(USA)","tax rate on corporate profits","pct","USA",
422,"TCOR(ROW)","tax rate on corporate profits","pct","ROW",
423,"TEX(g01,USA)","extern tax on composite","pct","USA",
424,"TEX(g01,ROW)","extern tax on composite","pct","ROW",
425,"TEX(g02,USA)","extern tax on composite","pct","USA",
426,"TEX(g02,ROW)","extern tax on composite","pct","ROW",
427,"TIM(g01,USA,USA)","tariff rates","pct","USA",
428,"TIM(g01,USA,ROW)","tariff rates","pct","USA",
429,"TIM(g01,ROW,USA)","tariff rates","pct","ROW",
430,"TIM(g01,ROW,ROW)","tariff rates","pct","ROW",
431,"TIM(g02,USA,USA)","tariff rates","pct","USA",
432,"TIM(g02,USA,ROW)","tariff rates","pct","USA",
433,"TIM(g02,ROW,USA)","tariff rates","pct","ROW",
434,"TIM(g02,ROW,ROW)","tariff rates","pct","ROW",
435,"TINC(USA)","tax rate on labor income","pct","USA",
436,"TINC(ROW)","tax rate on labor income","pct","ROW",
437,"TITC(a01,USA)","investment tax credit rate","pct","USA",
438,"TITC(a01,ROW)","investment tax credit rate","pct","ROW",
439,"TITC(a02,USA)","investment tax credit rate","pct","USA",
440,"TITC(a02,ROW)","investment tax credit rate","pct","ROW",
441,"TITCH(USA)","households investment tax credit rate","pct","USA",
442,"TITCH(ROW)","households investment tax credit rate","pct","ROW",
