order,name,description,vector,type,units,region,2017,2018,2019,2020,2021,2022,2023,2024
47,DEFN(USA),fiscal deficit (nominal interest rates),end,z1l,gdp,USA,4.44994742,6.15281169,6.68866289,14.97511039,11.90911223,3.68851364,7.84803378,7.91435931
48,DEFN(ROW),fiscal deficit (nominal interest rates),end,z1l,gdp,ROW,4.44994742,6.15281169,6.68866289,14.97511039,11.90911223,3.68851364,7.84803378,7.91435931
49,DEFX(USA),fiscal deficit shocks (real interest rates),exo,exo,gdp,USA,2.75116391,4.45402818,5.4445524,13.70611796,7.93799343,-2.35792259,4.61430725,5.60942463
50,DEFX(ROW),fiscal deficit shocks (real interest rates),exo,exo,gdp,ROW,2.75116391,4.45402818,5.4445524,13.70611796,7.93799343,-2.35792259,4.61430725,5.60942463
51,"EN(a01,g01,USA)",sector demand for energy goods,end,z1l,gdp,USA,2.23636108,2.23306682,2.22622852,2.17768483,2.1791351,2.19669825,2.20903437,2.19986014
52,"EN(a01,g01,ROW)",sector demand for energy goods,end,z1l,gdp,ROW,2.23636108,2.23306682,2.22622852,2.17768483,2.1791351,2.19669825,2.20903437,2.19986014
53,"EN(a02,g01,USA)",sector demand for energy goods,end,z1l,gdp,USA,3.76923998,3.76712769,3.77377298,3.77665261,3.74883685,3.74049393,3.76622357,3.75903232
54,"EN(a02,g01,ROW)",sector demand for energy goods,end,z1l,gdp,ROW,3.76923998,3.76712769,3.77377298,3.77665261,3.74883685,3.74049393,3.76622357,3.75903232
55,"ENT(a01,USA)",sector demand for energy,end,z1l,gdp,USA,2.23636108,2.23306682,2.22622852,2.17768483,2.1791351,2.19669825,2.20903437,2.19986014
56,"ENT(a01,ROW)",sector demand for energy,end,z1l,gdp,ROW,2.23636108,2.23306682,2.22622852,2.17768483,2.1791351,2.19669825,2.20903437,2.19986014
57,"ENT(a02,USA)",sector demand for energy,end,z1l,gdp,USA,3.76923998,3.76712769,3.77377298,3.77665261,3.74883685,3.74049393,3.76622357,3.75903232
