name,data,event_year,description
USA 15 percentage point increase in tariffs,usa_tariffs.csv,2025,15 percentage point increase in tariffs imposed by the USA on the rest of the world
Reciprocation tariffs,reciprocation_tariffs.csv,2025,Reciprocal 15 percentage point increase in tariffs imposed by the rest of the world on the USA
