gcubed_region_code,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
USA,0.42036829,0.397174898,0.375853794,0.35631286,0.33845998,0.322203035,0.307449907,0.294108478,0.282086632,0.271292249,0.261633213,0.253017405,0.245352707,0.238547003,0.232508173,0.227144101,0.222362669,0.218071758,0.214179252,0.210593032,0.20722098,0.203970979,0.20075091,0.197468657,0.194032101,0.190349125,0.186327611,0.181875441,0.176920817,0.17147322,0.165562452,0.159218315,0.152470608,0.145349134,0.137883695,0.13010409,0.122040122,0.113721591,0.1051783,0.096440049,0.087536639,0.078497872,0.069353549,0.060133472,0.050867441,0.041585399,0.032320544,0.023109325,0.013988335,0.004994165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROW,0.42036829,0.397174898,0.375853794,0.35631286,0.33845998,0.322203035,0.307449907,0.294108478,0.282086632,0.271292249,0.261633213,0.253017405,0.245352707,0.238547003,0.232508173,0.227144101,0.222362669,0.218071758,0.214179252,0.210593032,0.20722098,0.203970979,0.20075091,0.197468657,0.194032101,0.190349125,0.186327611,0.181875441,0.176920817,0.17147322,0.165562452,0.159218315,0.152470608,0.145349134,0.137883695,0.13010409,0.122040122,0.113721591,0.1051783,0.096440049,0.087536639,0.078497872,0.069353549,0.060133472,0.050867441,0.041585399,0.032320544,0.023109325,0.013988335,0.004994165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
