,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
"LATC(a01,USA)",2.72452,2.68123,2.63988,2.60035,2.56252,2.52631,2.49161,2.45834,2.42642,2.39577,2.36633,2.33803,2.31081,2.28462,2.25940,2.23510,2.21169,2.18912,2.16734,2.14632,2.12603,2.10643,2.08750,2.06919,2.05149,2.03437,2.01780,2.00177,1.98624,1.97120,1.95663,1.94250,1.92881,1.91554,1.90266,1.89017,1.87805,1.86628,1.85485,1.84376,1.83298,1.82251,1.81234,1.80245,1.79283,1.78348,1.77439,1.76555,1.75695,1.74858,1.74043,1.73250,1.72478,1.71727,1.70995,1.70282,1.69588,1.68911,1.68252,1.67610,1.66984,1.66374,1.65779,1.65199,1.64634,1.64082,1.63544,1.63020,1.62508,1.62009,1.61522,1.61047,1.60583,1.60130,1.59688,1.59257,1.58836,1.58425,1.58023,1.57632,1.57249,1.56875,1.56510,1.56153,1.55805,1.55465,1.55132,1.54807,1.54490,1.54180,1.53877,1.53581,1.53291,1.53008,1.52732,1.52461,1.52197,1.51939,1.51686,1.51439,1.51198,1.50962,1.50731,1.50505,1.50284,1.50068,1.49857,1.49650,1.49448,1.49251,1.49057,1.48868,1.48683,1.48502,1.48325,1.48152,1.47983,1.47817,1.47655,1.47496,1.47340,1.47188,1.47040,1.46894,1.46751,1.46612,1.46476,1.46342,1.46211,1.46083,1.45958,1.45835,1.45715
"LATC(a01,ROW)",2.72452,2.68123,2.63988,2.60035,2.56252,2.52631,2.49161,2.45834,2.42642,2.39577,2.36633,2.33803,2.31081,2.28462,2.25940,2.23510,2.21169,2.18912,2.16734,2.14632,2.12603,2.10643,2.08750,2.06919,2.05149,2.03437,2.01780,2.00177,1.98624,1.97120,1.95663,1.94250,1.92881,1.91554,1.90266,1.89017,1.87805,1.86628,1.85485,1.84376,1.83298,1.82251,1.81234,1.80245,1.79283,1.78348,1.77439,1.76555,1.75695,1.74858,1.74043,1.73250,1.72478,1.71727,1.70995,1.70282,1.69588,1.68911,1.68252,1.67610,1.66984,1.66374,1.65779,1.65199,1.64634,1.64082,1.63544,1.63020,1.62508,1.62009,1.61522,1.61047,1.60583,1.60130,1.59688,1.59257,1.58836,1.58425,1.58023,1.57632,1.57249,1.56875,1.56510,1.56153,1.55805,1.55465,1.55132,1.54807,1.54490,1.54180,1.53877,1.53581,1.53291,1.53008,1.52732,1.52461,1.52197,1.51939,1.51686,1.51439,1.51198,1.50962,1.50731,1.50505,1.50284,1.50068,1.49857,1.49650,1.49448,1.49251,1.49057,1.48868,1.48683,1.48502,1.48325,1.48152,1.47983,1.47817,1.47655,1.47496,1.47340,1.47188,1.47040,1.46894,1.46751,1.46612,1.46476,1.46342,1.46211,1.46083,1.45958,1.45835,1.45715
"LATC(a02,USA)",2.72452,2.68123,2.63988,2.60035,2.56252,2.52631,2.49161,2.45834,2.42642,2.39577,2.36633,2.33803,2.31081,2.28462,2.25940,2.23510,2.21169,2.18912,2.16734,2.14632,2.12603,2.10643,2.08750,2.06919,2.05149,2.03437,2.01780,2.00177,1.98624,1.97120,1.95663,1.94250,1.92881,1.91554,1.90266,1.89017,1.87805,1.86628,1.85485,1.84376,1.83298,1.82251,1.81234,1.80245,1.79283,1.78348,1.77439,1.76555,1.75695,1.74858,1.74043,1.73250,1.72478,1.71727,1.70995,1.70282,1.69588,1.68911,1.68252,1.67610,1.66984,1.66374,1.65779,1.65199,1.64634,1.64082,1.63544,1.63020,1.62508,1.62009,1.61522,1.61047,1.60583,1.60130,1.59688,1.59257,1.58836,1.58425,1.58023,1.57632,1.57249,1.56875,1.56510,1.56153,1.55805,1.55465,1.55132,1.54807,1.54490,1.54180,1.53877,1.53581,1.53291,1.53008,1.52732,1.52461,1.52197,1.51939,1.51686,1.51439,1.51198,1.50962,1.50731,1.50505,1.50284,1.50068,1.49857,1.49650,1.49448,1.49251,1.49057,1.48868,1.48683,1.48502,1.48325,1.48152,1.47983,1.47817,1.47655,1.47496,1.47340,1.47188,1.47040,1.46894,1.46751,1.46612,1.46476,1.46342,1.46211,1.46083,1.45958,1.45835,1.45715
"LATC(a02,ROW)",2.72452,2.68123,2.63988,2.60035,2.56252,2.52631,2.49161,2.45834,2.42642,2.39577,2.36633,2.33803,2.31081,2.28462,2.25940,2.23510,2.21169,2.18912,2.16734,2.14632,2.12603,2.10643,2.08750,2.06919,2.05149,2.03437,2.01780,2.00177,1.98624,1.97120,1.95663,1.94250,1.92881,1.91554,1.90266,1.89017,1.87805,1.86628,1.85485,1.84376,1.83298,1.82251,1.81234,1.80245,1.79283,1.78348,1.77439,1.76555,1.75695,1.74858,1.74043,1.73250,1.72478,1.71727,1.70995,1.70282,1.69588,1.68911,1.68252,1.67610,1.66984,1.66374,1.65779,1.65199,1.64634,1.64082,1.63544,1.63020,1.62508,1.62009,1.61522,1.61047,1.60583,1.60130,1.59688,1.59257,1.58836,1.58425,1.58023,1.57632,1.57249,1.56875,1.56510,1.56153,1.55805,1.55465,1.55132,1.54807,1.54490,1.54180,1.53877,1.53581,1.53291,1.53008,1.52732,1.52461,1.52197,1.51939,1.51686,1.51439,1.51198,1.50962,1.50731,1.50505,1.50284,1.50068,1.49857,1.49650,1.49448,1.49251,1.49057,1.48868,1.48683,1.48502,1.48325,1.48152,1.47983,1.47817,1.47655,1.47496,1.47340,1.47188,1.47040,1.46894,1.46751,1.46612,1.46476,1.46342,1.46211,1.46083,1.45958,1.45835,1.45715
